pixId,fieldRa,fieldDec,fieldGl,fieldGb,fieldEl,fieldEb,starDensity_r25
112,5.625,66.44353569089876,120.04096145224055,3.7343560875313466,45.207537599329775,55.63623774957818,0
113,16.875,66.44353569089876,124.53884562230537,3.6219156976137623,50.931749809582264,52.64598114032479,0
114,28.125,66.44353569089876,128.98914261666792,4.292552556414294,56.748007223874424,50.00543285543047,0
115,39.375,66.44353569089876,133.2617690067941,5.722614284250495,62.652648880276125,47.74744801961729,0
116,50.625,66.44353569089876,137.23689031405723,7.863117120217039,68.63750056473211,45.90164072150191,0
117,61.87499999999999,66.44353569089876,140.80892506899707,10.644040856220764,74.69009020599911,44.49336090378379,0
118,73.125,66.44353569089876,143.88623621378915,13.979311938196355,80.79413612653522,43.54269342884259,0
119,84.375,66.44353569089876,146.3868157350588,17.771141443630725,86.93034204988618,43.06357990040436,0
120,95.625,66.44353569089876,148.23112423103467,21.912706387177995,93.07747197472466,43.063163700833584,0
121,106.875,66.44353569089876,149.33355949740087,26.288592464278626,99.21362098048323,43.54144000172255,0
122,118.125,66.44353569089876,149.59423765207916,30.7727753849582,105.31755633644734,44.49125670431983,0
123,129.375,66.44353569089876,148.89358982344638,35.224223606519445,111.36998793531372,45.89866618597241,0
124,140.625,66.44353569089876,147.0945299705381,39.48071777554159,117.35464249331335,47.74358167183492,0
125,151.875,66.44353569089876,144.0611105836262,43.352746856631825,123.25905769768137,50.00065631322145,0
126,163.125,66.44353569089876,139.70673949839377,46.62206258109511,129.07506953294333,52.64028443704742,0
127,174.375,66.44353569089876,134.0799309383124,49.05344684269404,134.79902676868747,55.62962439485894,0
128,185.625,66.44353569089876,127.46328702642212,50.42934880737287,140.43182651701116,58.93355752833,0
129,196.875,66.44353569089876,120.40452332699272,50.60582176894178,145.97893676310264,62.51552169885159,0
130,208.125,66.44353569089876,113.59542267131344,49.563141710796366,151.45071097182023,66.33818398038889,0
131,219.375,66.44353569089876,107.6444045374893,47.41360914574845,156.86369825604854,70.36394026861068,0
132,230.62499999999997,66.44353569089876,102.91243934240153,44.35992401569166,162.24509216551894,74.55524617516137,0
133,241.875,66.44353569089876,99.50589722486471,40.63693131280475,167.64913630739113,78.87478872756472,0
134,253.125,66.44353569089876,97.36659746435483,36.46978538702832,173.24109284274263,83.28546733910046,0
135,264.375,66.44353569089876,96.36616056554796,32.05645594746188,180.3899072719423,87.74925333703001,0
136,275.625,66.44353569089876,96.3648917794917,27.566434156494193,359.60035652066534,87.7606181507926,0
137,286.875,66.44353569089876,97.23747773959074,23.146134751440414,6.762632806060351,83.296684642208,0
138,298.125,66.44353569089876,98.87874002392059,18.92533105869769,12.355745082587086,78.88569038512522,0
139,309.375,66.44353569089876,101.1997653421554,15.022158490136581,17.76020260559425,74.56568674743872,0
140,320.625,66.44353569089876,104.12017195418424,11.545837311337214,23.141870168824912,70.3737904980934,0
141,331.875,66.44353569089876,107.55947821288022,8.596924588368646,28.55510192994676,66.34733401418111,0
142,343.125,66.44353569089876,111.42939361050341,6.265231736135312,34.02712053099817,62.523883552901395,0
143,354.375,66.44353569089876,115.6285491264775,4.625876190428675,39.574481850594836,58.941066247134536,0
144,5.0,63.44828368030105,119.42718487411103,0.7906682054228993,41.32881524777324,53.634386166457716,0
145,14.999999999999998,63.44828368030105,123.88862326845266,0.5924419079309577,46.93800901164767,50.779927603313354,0
146,25.0,63.44828368030105,128.32722427970594,1.0863840757798484,52.56477338850842,48.21011894642969,0
147,35.0,63.44828368030105,132.638242064337,2.257883827199743,58.22463952355888,45.95112911846407,0
148,45.0,63.44828368030105,136.72452308870575,4.073223296395109,63.925067745769546,44.027120620611875,0
149,54.99999999999999,63.44828368030105,140.50060305425094,6.482550156448712,69.66719705111618,42.45963403705433,0
150,65.0,63.44828368030105,143.89381398640856,9.42364467124679,75.44710844742181,41.2669350783294,0
151,74.99999999999999,63.44828368030105,146.84236660815094,12.825601254100937,81.25691322668263,40.46338448740668,0
152,85.0,63.44828368030105,149.29100834550545,16.61169787220691,87.08582548654933,40.05889320169788,0
153,95.0,63.44828368030105,151.18507275835722,20.70098855666129,92.92128448366951,40.05852082296146,0
154,105.00000000000001,63.44828368030105,152.4636496183282,25.008384812486206,98.75013108702598,40.4622627224319,0
155,115.0,63.44828368030105,153.05248768973405,29.44312192127985,104.55980622145526,41.26505069627812,0
156,125.00000000000001,63.44828368030105,152.85743264901106,33.90555162396221,110.33952696408451,42.45696710102718,0
157,135.0,63.44828368030105,151.76014033237132,38.28226528394334,116.08140819793928,44.02364742495545,0
158,145.0,63.44828368030105,149.6201090817602,42.439859032125774,121.7815340970933,45.94682587174164,0
159,155.0,63.44828368030105,146.2912725419265,46.21864677890781,127.4410449793843,48.204965853556,0
160,165.00000000000003,63.44828368030105,141.66618455198628,49.42994896789863,133.06739867111196,50.773912998810765,0
161,175.0,63.44828368030105,135.75830548922596,51.86430592718455,138.67611699727422,53.62751039564892,0
162,185.0,63.44828368030105,128.80518335308807,53.3200009843117,144.29360563411558,56.73811973399739,0
